Time,Gx0,Gy0,Gz0,Ax0,Ay0,Az0,Gx1,Gy1,Gz1,Ax1,Ay1,Az1,Gx2,Gy2,Gz2,Ax2,Ay2,Az2,Gx3,Gy3,Gz3,Ax3,Ay3,Az3,Gx4,Gy4,Gz4,Ax4,Ay4,Az4,
0,0.73,1.32,-0.98,0.48,0.59,0.61,0.14,1.24,-1.33,0.03,0.79,0.5,0.74,-0.08,-0.32,0.51,0.45,0.68,0.77,0.85,0.16,-0.05,0.51,0.7,0.27,0.03,0.24,-0.21,0.94,-0.04
1,1.02,0.68,-0.97,0.52,0.53,0.63,-0.18,-0.13,-1.38,0.17,0.76,0.56,-0.06,-0.4,-0.05,0.5,0.38,0.69,0.11,-0.27,0.21,-0.05,0.46,0.71,-0.3,-0.02,0.03,-0.25,0.93,-0.04
2,-1.11,-1.6,0.31,0.48,0.54,0.64,-0.3,-0.31,1.38,0.15,0.75,0.56,-0.24,-1.92,0.31,0.48,0.43,0.68,-0.11,0.6,0.59,-0.09,0.49,0.69,-0.44,0.69,0.17,-0.25,0.94,-0.05
3,0.27,1.1,-0.26,0.51,0.54,0.62,-0.41,1.0,-0.41,-0.0,0.75,0.52,0.38,0.66,0.2,0.52,0.43,0.67,0.12,0.79,0.6,-0.05,0.51,0.7,-0.4,0.4,0.12,-0.2,0.95,-0.03
4,0.27,0.17,-0.09,0.52,0.55,0.63,-0.32,0.26,-1.39,0.17,0.79,0.56,-0.21,-0.33,0.24,0.51,0.43,0.69,0.02,-0.04,0.42,-0.08,0.51,0.71,-0.25,0.27,0.11,-0.23,0.96,-0.05
5,-0.66,-0.84,-0.1,0.48,0.55,0.67,-0.37,-0.22,1.31,0.18,0.79,0.56,0.22,0.37,0.02,0.51,0.45,0.69,0.18,0.84,0.18,-0.06,0.52,0.7,-0.11,0.18,-0.07,-0.2,0.96,-0.05
6,0.43,1.0,-0.43,0.52,0.55,0.62,-0.27,0.67,-0.69,0.03,0.77,0.52,-0.11,0.04,0.09,0.52,0.44,0.65,0.1,-0.02,-0.3,-0.07,0.52,0.66,-0.24,-0.19,-0.38,-0.21,0.95,-0.05
7,-0.78,-0.97,0.02,0.49,0.55,0.62,-0.48,-0.37,-0.63,0.15,0.78,0.52,0.11,1.87,1.89,0.5,0.43,0.66,-1.92,0.19,-0.4,-0.12,0.46,0.72,-0.16,-0.14,-0.26,-0.23,0.93,-0.06
8,-0.09,0.02,-0.45,0.47,0.56,0.62,-0.39,-0.01,0.56,0.09,0.77,0.53,0.31,0.35,-0.31,0.51,0.44,0.67,-0.11,0.35,-1.14,-0.1,0.53,0.66,-0.11,0.02,-0.29,-0.21,0.97,-0.07
9,-0.46,-0.34,-0.04,0.52,0.55,0.64,-0.4,0.02,-0.73,0.08,0.78,0.57,0.22,-0.25,-0.27,0.56,0.46,0.65,0.46,0.86,-1.4,-0.06,0.53,0.68,0.01,0.0,0.2,-0.23,0.95,-0.05
